fname,created_dttm
F:/hbef_fcam_images/project_dir/labeled_image_files/W1/Hbwtr_w1_20210314_115953.JPG,2021-03-14T11:59:54Z
F:/hbef_fcam_images/project_dir/labeled_image_files/W1/Hbwtr_w1_20210316_115951.JPG,2021-03-16T11:59:52Z
F:/hbef_fcam_images/project_dir/labeled_image_files/W1/Hbwtr_w1_20210317_115950.JPG,2021-03-17T11:59:51Z
F:/hbef_fcam_images/project_dir/labeled_image_files/W1/Hbwtr_w1_20210318_120449.JPG,2021-03-18T12:04:50Z
F:/hbef_fcam_images/project_dir/labeled_image_files/W1/Hbwtr_w1_20210319_115948.JPG,2021-03-19T11:59:49Z
F:/hbef_fcam_images/project_dir/labeled_image_files/W1/Hbwtr_w1_20210319_115952.JPG,2021-03-15T11:59:53Z
F:/hbef_fcam_images/project_dir/labeled_image_files/W1/Hbwtr_w1_20210320_115947.JPG,2021-03-20T11:59:48Z
F:/hbef_fcam_images/project_dir/labeled_image_files/W1/Hbwtr_w1_20210321_115946.JPG,2021-03-21T11:59:47Z
F:/hbef_fcam_images/project_dir/labeled_image_files/W1/Hbwtr_w1_20210322_115945.JPG,2021-03-22T11:59:46Z
F:/hbef_fcam_images/project_dir/labeled_image_files/W1/Hbwtr_w1_20210323_115944.JPG,2021-03-23T11:59:45Z
F:/hbef_fcam_images/project_dir/labeled_image_files/W1/Hbwtr_w1_20210324_120443.JPG,2021-03-24T12:04:44Z
F:/hbef_fcam_images/project_dir/labeled_image_files/W1/Hbwtr_w1_20210325_115942.JPG,2021-03-25T11:59:43Z
F:/hbef_fcam_images/project_dir/labeled_image_files/W1/Hbwtr_w1_20210326_115941.JPG,2021-03-26T11:59:42Z
F:/hbef_fcam_images/project_dir/labeled_image_files/W1/Hbwtr_w1_20210327_115940.JPG,2021-03-27T11:59:41Z
F:/hbef_fcam_images/project_dir/labeled_image_files/W1/Hbwtr_w1_20210328_115939.JPG,2021-03-28T11:59:40Z
F:/hbef_fcam_images/project_dir/labeled_image_files/W1/Hbwtr_w1_20210329_115938.JPG,2021-03-29T11:59:39Z
F:/hbef_fcam_images/project_dir/labeled_image_files/W1/Hbwtr_w1_20210330_115937.JPG,2021-03-30T11:59:38Z
F:/hbef_fcam_images/project_dir/labeled_image_files/W1/Hbwtr_w1_20210331_115936.JPG,2021-03-31T11:59:36Z
F:/hbef_fcam_images/project_dir/labeled_image_files/W1/Hbwtr_w1_20210401_115935.JPG,2021-04-01T11:59:35Z
F:/hbef_fcam_images/project_dir/labeled_image_files/W1/Hbwtr_w1_20210402_115934.JPG,2021-04-02T11:59:34Z
F:/hbef_fcam_images/project_dir/labeled_image_files/W1/Hbwtr_w1_20210403_115933.JPG,2021-04-03T11:59:33Z
F:/hbef_fcam_images/project_dir/labeled_image_files/W1/Hbwtr_w1_20210404_115931.JPG,2021-04-04T11:59:32Z
F:/hbef_fcam_images/project_dir/labeled_image_files/W1/Hbwtr_w1_20210405_115930.JPG,2021-04-05T11:59:31Z
F:/hbef_fcam_images/project_dir/labeled_image_files/W1/Hbwtr_w1_20210406_115929.JPG,2021-04-06T11:59:30Z
F:/hbef_fcam_images/project_dir/labeled_image_files/W1/Hbwtr_w1_20210407_115928.JPG,2021-04-07T11:59:29Z
F:/hbef_fcam_images/project_dir/labeled_image_files/W1/Hbwtr_w1_20210408_120427.JPG,2021-04-08T12:04:28Z
F:/hbef_fcam_images/project_dir/labeled_image_files/W1/Hbwtr_w1_20210409_115926.JPG,2021-04-09T11:59:27Z
F:/hbef_fcam_images/project_dir/labeled_image_files/W1/Hbwtr_w1_20210410_115925.JPG,2021-04-10T11:59:26Z
F:/hbef_fcam_images/project_dir/labeled_image_files/W1/Hbwtr_w1_20210411_115924.JPG,2021-04-11T11:59:25Z
F:/hbef_fcam_images/project_dir/labeled_image_files/W1/Hbwtr_w1_20210412_115923.JPG,2021-04-12T11:59:24Z
F:/hbef_fcam_images/project_dir/labeled_image_files/W1/Hbwtr_w1_20210413_115922.JPG,2021-04-13T11:59:23Z
F:/hbef_fcam_images/project_dir/labeled_image_files/W1/Hbwtr_w1_20210414_115921.JPG,2021-04-14T11:59:22Z
F:/hbef_fcam_images/project_dir/labeled_image_files/W1/Hbwtr_w1_20210415_115920.JPG,2021-04-15T11:59:21Z
F:/hbef_fcam_images/project_dir/labeled_image_files/W1/Hbwtr_w1_20210415_120420.JPG,2021-04-15T12:04:21Z
F:/hbef_fcam_images/project_dir/labeled_image_files/W1/Hbwtr_w1_20210416_115919.JPG,2021-04-16T11:59:20Z
F:/hbef_fcam_images/project_dir/labeled_image_files/W1/Hbwtr_w1_20210417_115918.JPG,2021-04-17T11:59:19Z
F:/hbef_fcam_images/project_dir/labeled_image_files/W1/Hbwtr_w1_20210418_120417.JPG,2021-04-18T12:04:18Z
F:/hbef_fcam_images/project_dir/labeled_image_files/W1/Hbwtr_w1_20210419_115916.JPG,2021-04-19T11:59:17Z
F:/hbef_fcam_images/project_dir/labeled_image_files/W1/Hbwtr_w1_20210420_115915.JPG,2021-04-20T11:59:16Z
F:/hbef_fcam_images/project_dir/labeled_image_files/W1/Hbwtr_w1_20210421_120414.JPG,2021-04-21T12:04:15Z
F:/hbef_fcam_images/project_dir/labeled_image_files/W1/Hbwtr_w1_20210422_115913.JPG,2021-04-22T11:59:14Z
F:/hbef_fcam_images/project_dir/labeled_image_files/W1/Hbwtr_w1_20210423_115912.JPG,2021-04-23T11:59:13Z
F:/hbef_fcam_images/project_dir/labeled_image_files/W1/Hbwtr_w1_20210424_115911.JPG,2021-04-24T11:59:12Z
F:/hbef_fcam_images/project_dir/labeled_image_files/W1/Hbwtr_w1_20210425_115910.JPG,2021-04-25T11:59:11Z
F:/hbef_fcam_images/project_dir/labeled_image_files/W1/Hbwtr_w1_20210426_115909.JPG,2021-04-26T11:59:10Z
F:/hbef_fcam_images/project_dir/labeled_image_files/W1/Hbwtr_w1_20210427_120408.JPG,2021-04-27T12:04:08Z
F:/hbef_fcam_images/project_dir/labeled_image_files/W1/Hbwtr_w1_20210428_115907.JPG,2021-04-28T11:59:08Z
F:/hbef_fcam_images/project_dir/labeled_image_files/W1/Hbwtr_w1_20210429_115906.JPG,2021-04-29T11:59:07Z
F:/hbef_fcam_images/project_dir/labeled_image_files/W1/Hbwtr_w1_20210430_115905.JPG,2021-04-30T11:59:05Z
F:/hbef_fcam_images/project_dir/labeled_image_files/W1/Hbwtr_w1_20210501_115904.JPG,2021-05-01T11:59:04Z
F:/hbef_fcam_images/project_dir/labeled_image_files/W1/Hbwtr_w1_20210502_115903.JPG,2021-05-02T11:59:03Z
F:/hbef_fcam_images/project_dir/labeled_image_files/W1/Hbwtr_w1_20210503_115856.JPG,2021-05-08T11:58:57Z
F:/hbef_fcam_images/project_dir/labeled_image_files/W1/Hbwtr_w1_20210503_115901.JPG,2021-05-03T11:59:02Z
F:/hbef_fcam_images/project_dir/labeled_image_files/W1/Hbwtr_w1_20210504_115901.JPG,2021-05-04T11:59:01Z
F:/hbef_fcam_images/project_dir/labeled_image_files/W1/Hbwtr_w1_20210505_115900.JPG,2021-05-05T11:59:00Z
F:/hbef_fcam_images/project_dir/labeled_image_files/W1/Hbwtr_w1_20210506_120359.JPG,2021-05-06T12:03:59Z
F:/hbef_fcam_images/project_dir/labeled_image_files/W1/Hbwtr_w1_20210507_115857.JPG,2021-05-07T11:58:58Z
F:/hbef_fcam_images/project_dir/labeled_image_files/W1/Hbwtr_w1_20210509_115855.JPG,2021-05-09T11:58:56Z
F:/hbef_fcam_images/project_dir/labeled_image_files/W1/Hbwtr_w1_20210510_115854.JPG,2021-05-10T11:58:55Z
F:/hbef_fcam_images/project_dir/labeled_image_files/W1/Hbwtr_w1_20210511_115853.JPG,2021-05-11T11:58:54Z
F:/hbef_fcam_images/project_dir/labeled_image_files/W1/Hbwtr_w1_20210512_115852.JPG,2021-05-12T11:58:53Z
F:/hbef_fcam_images/project_dir/labeled_image_files/W1/Hbwtr_w1_20210513_115851.JPG,2021-05-13T11:58:52Z
F:/hbef_fcam_images/project_dir/labeled_image_files/W1/Hbwtr_w1_20210514_115850.JPG,2021-05-14T11:58:51Z
F:/hbef_fcam_images/project_dir/labeled_image_files/W1/Hbwtr_w1_20210515_115849.JPG,2021-05-15T11:58:50Z
F:/hbef_fcam_images/project_dir/labeled_image_files/W1/Hbwtr_w1_20210516_120348.JPG,2021-05-16T12:03:49Z
F:/hbef_fcam_images/project_dir/labeled_image_files/W1/Hbwtr_w1_20210517_115847.JPG,2021-05-17T11:58:48Z
F:/hbef_fcam_images/project_dir/labeled_image_files/W1/Hbwtr_w1_20210518_115846.JPG,2021-05-18T11:58:47Z
F:/hbef_fcam_images/project_dir/labeled_image_files/W1/Hbwtr_w1_20210519_115845.JPG,2021-05-19T11:58:46Z
F:/hbef_fcam_images/project_dir/labeled_image_files/W1/Hbwtr_w1_20210520_115844.JPG,2021-05-20T11:58:45Z
F:/hbef_fcam_images/project_dir/labeled_image_files/W1/Hbwtr_w1_20210521_120343.JPG,2021-05-21T12:03:44Z
F:/hbef_fcam_images/project_dir/labeled_image_files/W1/Hbwtr_w1_20210522_115842.JPG,2021-05-22T11:58:43Z
F:/hbef_fcam_images/project_dir/labeled_image_files/W1/Hbwtr_w1_20210523_120341.JPG,2021-05-23T12:03:42Z
F:/hbef_fcam_images/project_dir/labeled_image_files/W1/Hbwtr_w1_20210524_115840.JPG,2021-05-24T11:58:41Z
F:/hbef_fcam_images/project_dir/labeled_image_files/W1/Hbwtr_w1_20210525_115839.JPG,2021-05-25T11:58:40Z
F:/hbef_fcam_images/project_dir/labeled_image_files/W1/Hbwtr_w1_20210526_115838.JPG,2021-05-26T11:58:39Z
F:/hbef_fcam_images/project_dir/labeled_image_files/W1/Hbwtr_w1_20210527_115837.JPG,2021-05-27T11:58:38Z
