,old_name,new_name,status,note,old_folder
86,01310175.JPG,Hbwtr_w4_20210131_115833.JPG,renamed,,/content/drive/MyDrive/2_Camera Trap photos/COPY of data for script/Newly_uploaded_data/W4  GC Channel 11-6-20 thru 5-9-21
87,02010177.JPG,Hbwtr_w4_20210201_115832.JPG,renamed,,/content/drive/MyDrive/2_Camera Trap photos/COPY of data for script/Newly_uploaded_data/W4  GC Channel 11-6-20 thru 5-9-21
88,02030181.JPG,Hbwtr_w4_20210203_115829.JPG,renamed,,/content/drive/MyDrive/2_Camera Trap photos/COPY of data for script/Newly_uploaded_data/W4  GC Channel 11-6-20 thru 5-9-21
89,02040183.JPG,Hbwtr_w4_20210204_115828.JPG,renamed,,/content/drive/MyDrive/2_Camera Trap photos/COPY of data for script/Newly_uploaded_data/W4  GC Channel 11-6-20 thru 5-9-21
90,02050185.JPG,Hbwtr_w4_20210205_115827.JPG,renamed,,/content/drive/MyDrive/2_Camera Trap photos/COPY of data for script/Newly_uploaded_data/W4  GC Channel 11-6-20 thru 5-9-21
91,02060187.JPG,Hbwtr_w4_20210206_115826.JPG,renamed,,/content/drive/MyDrive/2_Camera Trap photos/COPY of data for script/Newly_uploaded_data/W4  GC Channel 11-6-20 thru 5-9-21
92,02070189.JPG,Hbwtr_w4_20210207_115825.JPG,renamed,,/content/drive/MyDrive/2_Camera Trap photos/COPY of data for script/Newly_uploaded_data/W4  GC Channel 11-6-20 thru 5-9-21
93,02080191.JPG,Hbwtr_w4_20210208_115823.JPG,renamed,,/content/drive/MyDrive/2_Camera Trap photos/COPY of data for script/Newly_uploaded_data/W4  GC Channel 11-6-20 thru 5-9-21
94,02090193.JPG,Hbwtr_w4_20210209_115822.JPG,renamed,,/content/drive/MyDrive/2_Camera Trap photos/COPY of data for script/Newly_uploaded_data/W4  GC Channel 11-6-20 thru 5-9-21
95,02100195.JPG,Hbwtr_w4_20210210_115821.JPG,renamed,,/content/drive/MyDrive/2_Camera Trap photos/COPY of data for script/Newly_uploaded_data/W4  GC Channel 11-6-20 thru 5-9-21
